triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
43,common (p=0.5),0.5,0.35133893975563263,0.37108502035443464,0.16725986490522948,-0.10080028365886318
43,rare (p=0.05),0.05,0.35133893975563263,0.34391510941065906,0.16454373397103184,0.06842134651313458
43,rare (p=0.02),0.02,0.35133893975563263,0.3529043460433884,0.17343131591071861,-0.011614822524627755
43,very rare (p=0.005),0.005,0.35133893975563263,0.3173121313493026,0.1878820188558479,0.05187339526568002
44,common (p=0.5),0.5,0.48366657697416665,0.491819950646278,0.25996896893469806,-0.017886698487001418
44,rare (p=0.05),0.05,0.48366657697416665,0.48095191802427134,0.2725571317495121,-0.0056604744555399655
44,rare (p=0.02),0.02,0.48366657697416665,0.4980777030710656,0.2693065402041848,0.038715825191901976
44,very rare (p=0.005),0.005,0.48366657697416665,0.4841114741619768,0.2742354628917646,0.0015453186788638718
45,common (p=0.5),0.5,0.46701069091724495,0.4787005319138677,0.09845534817417911,-0.035521301352348544
45,rare (p=0.05),0.05,0.46701069091724495,0.4900778425063267,0.08696036798691487,0.03639441870659088
45,rare (p=0.02),0.02,0.46701069091724495,0.473474739057094,0.10162684457675272,0.0029172587144824513
45,very rare (p=0.005),0.005,0.46701069091724495,0.4725923639294945,0.09191089403545014,0.18401787877160392
46,common (p=0.5),0.5,0.11377741803698631,0.11232465306678417,0.3236736189904209,-0.0144437663511221
46,rare (p=0.05),0.05,0.11377741803698631,0.11153873720356557,0.31903425874732716,-0.017568659956353372
46,rare (p=0.02),0.02,0.11377741803698631,0.1046213790236122,0.33346553404879337,0.04321593397562484
46,very rare (p=0.005),0.005,0.11377741803698631,0.07760769936276495,0.3541399816376475,0.03182375055716391
47,common (p=0.5),0.5,0.21051872699270013,0.21322254384424585,0.26516131860398806,-0.020351232471066294
47,rare (p=0.05),0.05,0.21051872699270013,0.29088076245127364,0.22478004402831073,0.08126425703797413
47,rare (p=0.02),0.02,0.21051872699270013,0.21214744233976782,0.27559536177884586,-0.021279194808441648
47,very rare (p=0.005),0.005,0.21051872699270013,0.21120706606879744,0.2677656545172898,0.01608489386578904
48,common (p=0.5),0.5,0.2877069742191287,0.29315305293177946,0.18501247954692865,-0.007147244309659406
48,rare (p=0.05),0.05,0.2877069742191287,0.31052162963647056,0.1703642356535321,0.058375302216580716
48,rare (p=0.02),0.02,0.2877069742191287,0.2806306737998702,0.18692250869408616,-0.02464787925724199
48,very rare (p=0.005),0.005,0.2877069742191287,0.248362801355422,0.18437396894044109,0.045320553919716566
49,common (p=0.5),0.5,0.5181023331408755,0.5329240907943131,0.2667220749908874,-0.030226840205614836
49,rare (p=0.05),0.05,0.5181023331408755,0.2997594338106055,0.5500627709068098,0.29015255278085084
49,rare (p=0.02),0.02,0.5181023331408755,0.4663407788040921,0.3390463896161454,0.08178682852761343
49,very rare (p=0.005),0.005,0.5181023331408755,0.5185753649432638,0.2751401304564091,-0.001491848770738824
50,common (p=0.5),0.5,0.11409580981079005,0.11535657615565392,0.16081687519879848,-0.0459726600635294
50,rare (p=0.05),0.05,0.11409580981079005,0.1366762265125155,0.1441736046463717,-0.005049510073390495
50,rare (p=0.02),0.02,0.11409580981079005,0.1235765689563797,0.1550473287664508,-0.004245747337907835
50,very rare (p=0.005),0.005,0.11409580981079005,0.10532354933855838,0.16723439135505247,-0.00656060877404907
51,common (p=0.5),0.5,0.4743945654874002,0.4728634117474088,0.19109526498340415,-0.027890687484055654
51,rare (p=0.05),0.05,0.4743945654874002,0.3993898633791472,0.3637985297872114,0.11808274847859812
51,rare (p=0.02),0.02,0.4743945654874002,0.4753674097970484,0.19405959123223512,0.0026163613966757593
51,very rare (p=0.005),0.005,0.4743945654874002,0.4365707027783527,0.3177907139821826,0.10060169713643596
52,common (p=0.5),0.5,0.5528262222480829,0.5585010578037813,0.3119137952537024,-0.006733511499594336
52,rare (p=0.05),0.05,0.5528262222480829,0.5623598099429533,0.29238806183677496,-0.013500789082152576
52,rare (p=0.02),0.02,0.5528262222480829,0.5118514539846355,0.3397881735329418,0.1326777800060247
52,very rare (p=0.005),0.005,0.5528262222480829,0.5353724558010555,0.34766015413772333,0.07069018929610416
53,common (p=0.5),0.5,0.1615345380803249,0.1776848496256492,0.4395260688955955,-0.03494712550984791
