generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
255,2.9675109731815894,1.7226465026759232,0.2794309682214073,0.23170820066272174,0.044030606879765725,0.8403177003912253
256,2.9676898030912575,1.722698407467557,0.27803730045319414,0.22941648994419703,0.04403591383685915,0.8389631496085982
257,2.9678686258238587,1.7227503086123244,0.2766505836319734,0.22714744402394382,0.044041220900748,0.8375993299241393
258,2.968047441380424,1.7228022061108537,0.27527078308975234,0.2249008387631565,0.04404652807142442,0.8362262155981035
259,2.968226249761986,1.722854099963774,0.2738978643314456,0.22267645223946395,0.04405183534888052,0.8348437814857194
260,2.968405050969576,1.7229059901717145,0.2725317930340126,0.22047406472501252,0.044057142733108456,0.8334520030492685
261,2.9685838450042255,1.7229578767353035,0.2711725350455999,0.21829345866476757,0.044062450224100366,0.8320508563702108
262,2.968762631866965,1.7230097596551694,0.2698200563846868,0.21613441865502725,0.044067757821848345,0.8306403181613483
263,2.9689414115588253,1.7230616389319406,0.2684743232392366,0.21399673142215167,0.04407306552634456,0.8292203657790285
264,2.969120184080837,1.723113514566245,0.26713530196585034,0.21188018580149914,0.04407837333758113,0.8277909772353803
265,2.969298949434032,1.723165386558711,0.2658029590889266,0.20978457271657353,0.04408368125555025,0.826352131210581
266,2.969477707619438,1.7232172549099658,0.26447726129982396,0.20770968515837532,0.044088989280243976,0.8249038070651499
267,2.9696564586380862,1.7232691196206373,0.2631581754560287,0.20565531816495927,0.044094297411654514,0.8234459848522647
268,2.969835202491005,1.7233209806913525,0.261845668580326,0.20362126880119194,0.04409960564977396,0.8219786453300968
269,2.970013939179225,1.7233728381227391,0.2605397078599756,0.2016073361387113,0.04410491399459449,0.8205017699741615
270,2.970192668703774,1.723424691915424,0.2592402606458915,0.19961332123608286,0.04411022244610825,0.8190153409896797
271,2.970371391065682,1.7234765420700342,0.2579472944518257,0.19763902711915304,0.04411553100430739,0.8175193413239462
272,2.9705501062659776,1.7235283885871964,0.2566607769535559,0.1956842587615965,0.044120839669184064,0.8160137546787001
273,2.970728814305689,1.7235802314675372,0.2553806759880777,0.19374882306565572,0.04412614844073043,0.8144985655224943
274,2.970907515185843,1.7236320707116826,0.25410695955280027,0.19183252884307106,0.044131457318938604,0.8129737591030585
275,2.9710862089074688,1.7236839063202594,0.25283959580474646,0.18993518679619964,0.044136766303800784,0.8114393214596511
